City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.33,76,100,7.92,PF,1678030936
1,bubaque,11.2833,-15.8333,24.62,64,15,4.1,GW,1678030937
2,liaoyang,41.2719,123.1731,6.18,58,27,3.94,CN,1678030937
3,bilibino,68.0546,166.4372,-30.9,100,100,0.71,RU,1678030937
4,tuktoyaktuk,69.4541,-133.0374,-37.0,67,0,1.54,CA,1678030937
5,avarua,-21.2078,-159.775,28.03,89,75,8.23,CK,1678030937
6,ushuaia,-54.8,-68.3,6.81,65,75,3.09,AR,1678030937
7,beloha,-25.1667,45.05,21.66,94,100,8.55,MG,1678030937
8,severo-kurilsk,50.6789,156.125,-3.55,75,100,3.37,RU,1678030938
9,alamos,27.0167,-108.9333,21.99,21,0,0.43,MX,1678030938
10,nueva gerona,21.8833,-82.8,27.84,58,12,5.16,CU,1678030938
11,kapaa,22.0752,-159.319,20.18,93,100,2.57,US,1678030938
12,sao domingos do prata,-19.865,-42.9683,28.91,48,100,1.6,BR,1678030938
13,jamestown,42.097,-79.2353,2.77,100,100,5.14,US,1678030938
14,xuanhua,40.6103,115.0447,8.58,24,0,2.09,CN,1678030938
15,plainview,40.7765,-73.4673,9.15,60,0,4.12,US,1678030939
16,bilma,18.6853,12.9164,37.43,7,16,2.01,NE,1678030939
17,jumla,29.2747,82.1838,5.27,69,49,2.12,NP,1678030939
18,nanortalik,60.1432,-45.2371,2.65,92,76,1.47,GL,1678030939
19,hualmay,-11.0964,-77.6139,25.39,69,94,3.51,PE,1678030939
20,georgetown,5.4112,100.3354,27.96,65,20,5.14,MY,1678030939
21,nikolskoye,59.7035,30.7861,-2.06,98,100,0.08,RU,1678030939
22,atuona,-9.8,-139.0333,26.53,82,15,6.78,PF,1678030940
23,margate,51.3813,1.3862,5.73,67,100,1.34,GB,1678030940
24,airai,-8.9266,125.4092,14.83,95,99,1.07,TL,1678030940
25,mbandaka,0.0487,18.2603,32.78,42,100,1.58,CD,1678030940
26,sao joao da barra,-21.6403,-41.0511,33.05,76,99,5.74,BR,1678030940
27,omsukchan,62.5333,155.8,-31.31,100,91,1.1,RU,1678030940
28,puerto maldonado,-12.6,-69.1833,29.22,74,75,2.57,PE,1678030941
29,hermanus,-34.4187,19.2345,19.89,91,95,11.54,ZA,1678030941
30,saint-philippe,-21.3585,55.7679,24.77,85,100,2.23,RE,1678030941
31,mataura,-46.1927,168.8643,4.15,99,6,1.19,NZ,1678030941
32,nome,64.5011,-165.4064,-2.96,93,100,10.8,US,1678030941
33,aquiraz,-3.9014,-38.3911,31.05,75,97,5.23,BR,1678030941
34,palana,59.1167,159.9667,-12.65,94,100,5.33,RU,1678030942
35,rocha,-34.4833,-54.3333,28.96,44,21,4.88,UY,1678030680
36,riohacha,11.5444,-72.9072,29.06,61,75,5.14,CO,1678030942
37,mujiayingzi,42.1167,118.7833,4.61,41,56,3.32,CN,1678030942
38,karasuyama,36.65,140.15,4.79,82,97,1.03,JP,1678030942
39,san jeronimo,-11.9472,-75.2829,16.24,54,100,1.14,PE,1678030942
40,puerto ayora,-0.7393,-90.3518,28.98,89,25,2.68,EC,1678030942
41,donji vakuf,44.1436,17.4,4.68,88,53,0.41,BA,1678030943
42,provideniya,64.3833,-173.3,0.34,99,100,5.31,RU,1678030943
43,bluff,-46.6,168.3333,8.69,82,4,4.05,NZ,1678030943
44,lebu,-37.6167,-73.65,18.44,73,0,6.55,CL,1678030943
45,dikson,73.5069,80.5464,-33.17,100,77,0.29,RU,1678030943
46,mandalgovi,45.7625,106.2708,0.64,33,4,2.42,MN,1678030943
47,saint-georges,12.0564,-61.7485,29.82,66,20,10.8,GD,1678030943
48,svetlyy,54.675,20.1347,1.03,64,77,6.01,RU,1678030944
49,barrow,71.2906,-156.7887,-22.99,70,100,9.77,US,1678030938
50,yellowknife,62.456,-114.3525,-31.71,75,20,2.57,CA,1678030944
51,kathu,7.9178,98.3332,26.9,74,5,8.48,TH,1678030944
52,carnarvon,-24.8667,113.6333,25.37,70,0,11.51,AU,1678030944
53,vaini,-21.2,-175.2,27.09,89,75,8.75,TO,1678030945
54,new norfolk,-42.7826,147.0587,17.72,74,93,0.89,AU,1678030945
55,arraial do cabo,-22.9661,-42.0278,32.98,62,0,3.6,BR,1678030945
56,hobart,-42.8794,147.3294,17.92,85,75,3.09,AU,1678030945
57,kushiro,42.975,144.3747,0.05,73,0,2.65,JP,1678030945
58,leiva,1.9339,-77.3025,20.66,84,100,0.74,CO,1678030945
